idx,title,content,date,body_url
1,The Latest from NIKECRAFT Challenges Pedestrian Poncho Expectations ,"February 08, 2020 – Apparel from  the NIKECRAFT Transitions collection is available February 15. ","February 08, 2020",/news/tom-sachs-nikecraft-poncho-apparel
2,"For Tokyo, Nike Celebrates the Imaginative Spark of Sport","February 05, 2020 – Anchored by long-time partners Jun Takahashi and Chitose Abe, five new collections represent a breadth of international design talent.","February 05, 2020",/news/nike-summer-2020-collaborations
3,Virgil Abloh Turns His Eye to Training Apparel ,"February 03, 2020 – The Nike x Off-White Training Collection releases February 6.","February 03, 2020",/news/nike-x-off-white-training-collection-official-images
4,Jordan Brand and Eight Chicago Collaborators Unite for NBA All-Star 2020,"January 22, 2020 – The Chicago-inspired capsules from the Jordan Chicago Collaborators' Collection release globally February 15.","January 22, 2020",/news/jordan-brand-8x8-collection-nba-all-star-2020
5,Stéphane Ashpool Believes in “the Power of Sport to Move the World”,"January 14, 2020 – With a new court in Mexico City, Pigalle's founder extends his view of basketball as a conduit for community. A fresh collection, including Nike apparel and Converse footwear, serves as uniform for those that join.","January 14, 2020",/news/nike-converse-pigalle-2019-collection-update
6,Kylian Mbappé's First Nike Collection Rooted in Bondy,"December 08, 2019 – An exclusive Mercurial boot headlines the celebration of the 20-year-old Paris Saint-Germain and French national team forward from Northern Paris. ","December 08, 2019",/news/kylian-mbappe-nike-collection-mercurial-superfly-7-airmax-98-draft
7,Nike SB x Oski Drop Orange Label Collection,"December 04, 2019 – The Nike SB Oski Orange Label Collaboration employs a Swoosh shark design throughout the collection and drops globally December 14 at local skate shops.","December 04, 2019",/footwear/nike-sb-oski-orange-label-collection-sb-blazer-sb-dunk-apparel
8,Jordan Brand and Dior Announce New Collaboration,"December 03, 2019 – A limited-edition Air Jordan I High OG, the partnership’s first revealed product, debuted during Dior’s Fall 2020 presentation. ","December 03, 2019",/news/jordan-brand-x-dior-jordan-1-and-official-partnership
9,Embrace Audacity with Nike x Undercover's Winter Collection,"November 22, 2019 – Nike's second capsule with Jun Takahashi's Undercover brings a playful energy to winter doldrums.","November 22, 2019",/news/nike-x-undercover-react-boot-and-am720-official-images
10,Get Outside and Train with Nike x MMW Series 003,"November 19, 2019 – Matthew M. Williams' third Nike collection is a ""best of"" compilation designed to take on cold-weather workouts.","November 19, 2019",/news/nike-x-mmw-series-3
11,"The GOLF le FLEUR* Gianno Takes Converse and Tyler, The Creator’s Relationship to the Outer Limits","November 08, 2019 – Tyler, The Creator’s latest Converse shoe is a new concept from the ground up and has no precedent. ","November 08, 2019",/news/converse-x-tyler-the-creator-golf-le-fleur-gianno
12,Nike c/o Virgil Abloh “Athlete in Progress” Collection,"November 07, 2019 – The second portion of the Nike c/o Virgil Abloh “Athlete in Progress” collection releases November 14.","November 07, 2019",/news/nike-virgil-abloh-athlete-in-progress-terra-kiger-official-release-info
13,Cactus Plant Flea Market Creates a Basketball Icon Mashup,"October 19, 2019 – CPFM’s latest Nike By You project marries the Air Force 1 and the powerful aesthetic sensibility of the Nike Air More Uptempo.","October 19, 2019",/footwear/nike-by-you-cactus-plant-flea-market-air-force-1-release-details
14,The First-Ever FlyEase Jordan and a Host of New Collaborations Highlight the Fearless Ones Collection,"October 18, 2019 – New Air Jordan I styles for men, women and children extend the spirit of the pioneering silhouette.","October 18, 2019",/news/jordan-brand-fearless-ones-air-jordan-i-collection
15,"Olivia Kim’s ""No Cover"" Collection Evokes ‘90s New York Street Fashion","October 17, 2019 – Rooted in the rave and hip-hop styles defining ’90s subculture in New York, the collection unveils five reimagined classic footwear canvases and 16 apparel and accessory pieces.","October 17, 2019",/news/olivia-kim-capsule-no-cover-collection
16,How to Get the New Travis Scott x Jordan Brand Collection,"October 10, 2019 – Release details on Travis Scott's Cactus Jack Air Jordan VI and apparel collection.","October 10, 2019",/news/jordan-brand-travis-scott-collection-air-jordan-6
17,Jun Takahashi Channels the Rebel Spirit of Running for Fall 2019 GYAKUSOU Collection,"September 12, 2019 – A ’70s retro flare meets a modern trail-running kit to celebrate the beauty of finding an individual rhythm.","September 12, 2019",/news/fall-2019-gyakusou-peg-trail-and-apparel
18,Nike x sacai Takes Running Heritage Down a New Path,"August 15, 2019 – The collection drops in September alongside new colorways of the LDWaffle and Blazer.","August 15, 2019",/news/nike-x-sacai-running-apparel-collection-official-images
19,The Nike KYRIE 5 Gets a Bikini Bottom Makeover,"July 22, 2019 – Three new versions of the Nike KYRIE 5 and two of the KYRIE 2 Low feature characters from the beloved TV show ""SpongeBob SquarePants.""","July 22, 2019",/footwear/nike-kyrie-x-spongebob-squarepants-collection
20,Nike SB and Parra Combine for Energetic Collection,"July 20, 2019 – A Blazer, a Dunk and assorted apparel pieces featuring work by the Dutch artist launch July 26. ","July 20, 2019",/news/nike-sb-x-parra-dunk-and-blazer-official-images-and-release-date
21,New Mercurial 360 Builds Upon the Best ,"July 06, 2019 – Made in Italy, the 2019 Mercurial 360 Vapor/Superfly will debut in Blue Fury and Black colorways.","July 06, 2019",/news/2019-mercurial-360-official-images-release-date
22,Matthew M. Williams on the Nike x MMW Free TR 3 SP,"June 06, 2019 – The Nike x MMW Free TR 3 SP launches June 8 at the NikeLab Chicago Re-Creation Center c/o Virgil Abloh. A global release will follow June 27.","June 06, 2019",/footwear/nike-x-mmw-free-tr-3-sp-official-images-and-release-date
23,"Yoon Ahn, Christelle Kocher, Erin Magee and Marine Serre Celebrate the Football Shirt","May 28, 2019 – Four designers reinforce the unifying power of sport.","May 28, 2019",/news/ambush-koche-mademe-marine-serre-nike-soccer-jerseys
24,TakahiroMiyashita TheSoloist. Creates a Transformative Capsule Inspired by the Converse Jack Purcell,"May 21, 2019 – The Converse x TakahiroMiyashita TheSoloist. capsule launches May 23 at Converse.com.","May 21, 2019",/news/converse-x-takahiromiyashita-thesoloist-capsule-official-images-release-date
25,How to Get the Patta x Jordan Collection ,"May 14, 2019 – The Air Jordan VII “Patta” relays a contemporary twist to ’92-era aesthetics.","May 14, 2019",/news/air-jordan-7-patta-official-images-and-release-date
26,The Nike x UNDERCOVER SU19 Collection is Deceptively Multidimensional,"May 07, 2019 – Jun Takahashi brings UNDERCOVER’s distinct design sensibility to sportswear staples.","May 07, 2019",/news/nike-x-undercover-track-suit-t-shirt-and-longsleeve
27,How to Get the Nike x sacai LDWaffle and Blazer Mid,"May 06, 2019 – The Nike x sacai LDWaffle releases May 16 and the Nike x sacai Blazer Mid releases May 30.","May 06, 2019",/news/how-to-get-the-nike-x-sacai-ldwaffle-and-blazer-mid-official-images-release-date
28,How to Get the Nike x CPFM VaporMax 19,"May 03, 2019 – The Nike x CPFM VaporMax 19 releases globally on May 14.","May 03, 2019",/news/nike-x-cactus-plant-flea-market-vapormax-19-official-release-date
29,How to Get the Travis Scott Air Jordan I High OG ,"April 30, 2019 – Like last year’s AJIV, Scott’s AJI relays a story of growing up in the Houston, Texas area. ","April 30, 2019",/news/travis-scott-air-jordan-i-high-og-apparel-collection-official-images-release-date
30,Converse Pushes the Boundaries of Design With This New Collection,"April 23, 2019 – Koché, Feng Chen Wang and Faith Connexion have each worked with the brand to introduce its largest collaborative apparel assortment to date intended for mix-and-match styling.","April 23, 2019",/news/converse-by-koche-x-feng-chen-wang-x-faith-connexion
31,How to Get the Nike x AMBUSH® Air Max 180,"April 19, 2019 – The Nike x AMBUSH® Air Max 180 releases April 26 in Japan and globally on April 27. ","April 19, 2019",/news/how-to-get-the-nike-x-ambush-air-max-180
32,Let the Band Deal with It: The Nike Air Fear of God Raid,"April 02, 2019 – The Nike Air Fear of God SPSU19 collection launches April 27. ","April 02, 2019",/news/nike-fear-of-god-raid-official-images-and-release-date
33,"Air Max Remixed, Recreated, Re-tooled and Re-imagined","March 26, 2019 – Each of these 2019 collaborations with Atmos, CLOT, Heron Preston and Cactus Plant Flea Market offers a distinct take on an Air Max classic.","March 26, 2019",/news/nike-air-max-2019-collaborations-atmos-clot-heron-preston-cactus-plant-flea-market
34,Converse x ASAP Nast Jack Purcell and Apparel ,"March 18, 2019 – A utilitarian vibe appropriately honors Nast's love for the outdoors. It releases March 22. ","March 18, 2019",/news/converse-asap-nast-jack-purcell
35,Say Hello to the Missing Link x Nike Air Max Susan,"March 06, 2019 – Materials and textures of the lovable character's plaid suit are translated to the Nike Air Max 1. The Missing Link x Nike Air Max Susan releases April 9.","March 06, 2019",/news/nike-laika-nike-air-max-susan
36,"Converse and DOE Unveil ""Be Formless"" Collection","February 26, 2019 – Highlighted by a Chuck 70 and a Jack Purcell, the capsule drops March 7. ","February 26, 2019",/news/converse-doe-be-formless-chuck-70-jack-purcell
37,Converse x GOLF le FLEUR* Goes Two-Tone ,"February 18, 2019 – The new collection from Tyler, The Creator will be available February 23 on converse.com and at Golf Wang stores globally.","February 18, 2019",/news/converse-golf-le-fleur-boiler-suit-two-tone-one-star
38,Jun Takahashi's Gyakusou Collection Champions Fluid Functionality ,"February 12, 2019 – The latest collection features the Pegasus Turbo and Vaporfly 4%. It releases February 28. ","February 12, 2019",/news/gyakusou-su19
39,Heron Preston's Apparel Collection Moves the Chains ,"January 30, 2019 – Launching this weekend, the pieces are designed to provide everything needed to hit the field. ","January 30, 2019",/news/heron-preston-football-collection
40,Matthew Williams Continues Dalliance with Data,"January 18, 2019 – Designed for “really hardcore outdoor training,” Williams’ second Nike collection incorporates a camouflage dictated by temperature maps, Sherpa fleece and more. ","January 18, 2019",/news/matthew-williams-collection-2
41,Building the Converse x JW Anderson Run Star Hike,"January 15, 2019 – Debuted during Anderson’s Spring/Summer 2019 Collection show in London, the Converse x JW Anderson Run Star Hike is a declaration on contemporary mash-up culture. ","January 15, 2019",/news/converse-x-jw-anderson-run-star-hike
42,Converse x Perks and Mini “Mutates” the Chuck 70 ,"January 14, 2019 – Engineered with PrimaLoft®, the shoe and associated P.A.M. apparel release January 19. ","January 14, 2019",/news/converse-x-perks-and-mini
43,The PhantomVNM Football Boot is Fit for Finishers,"January 14, 2019 – The design features a series of textured zones to facilitate a powerful strike, but with an understanding that all of the power in the world won’t score without the accuracy to keep the shot on goal.","January 14, 2019",/news/phantomvnm
44,Cav Empt Connects London's Past with Tokyo's Present to Create Its Own Future,"January 11, 2019 – The Nike x Cav Empt collection releases January 5 at Cav Empt's Tokyo store and on cavempt.com. A wider release follows on January 10.","January 11, 2019",/news/cav-empt-air-max-95
45,Vince Staples Samples Running Culture for New Converse Collab,"December 17, 2018 – The Converse x Vince Staples Thunderbolt and associated apparel drops December 18 on converse.com and at select retailers.","December 17, 2018",/news/converse-vince-staples-thunderbolt
46,Martine Rose Celebrates the Superhuman in a Most Human Way,"December 10, 2018 – The Nike x Martine Rose collection hits retail in January.","December 10, 2018",/news/martine-rose-nike-tracksuit-air-monarch
